"fase";"documento";"data";"unidadeGestora";"gestao";"favorecido";"valor";"observacaoDoc";"numeroProcesso";"elementoDespesa";"link";"real"
"PAGAMENTO";"2019NP00153";"28/02/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"40.761.843/0001-25 - COM. DE MOV. ELETRO E INF. MALHEIRO LTDA EPP";"17.280,00";"PAGAMENTO REF. COM AQUISICAO DE 17 FRIGOBARES PARA OS GABINETES DOS VEREADORES E 1 PARA PRESIDENCIA";"569/2019";"EQUIPAMENTOS E MATERIAL PERMANENTE";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751573&dt=20200602151716&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidPyXCwFDXLtX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0RywmsxvpvMWj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1IG3ZNPpYADfhnJkOluLX1J1x9MnBxs9ps%3d&dt=20200602151716";17280
"PAGAMENTO";"2019NP00225";"29/03/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"40.761.843/0001-25 - COM. DE MOV. ELETRO E INF. MALHEIRO LTDA EPP";"960,00";"PAGAMENTO REF. COM FORNECIMENTO DE EQUIPAMENTO PERMANENTE PARA SUPRIR NECESSIDADES DESTA CASA LEGISLATIVA MALHEIRO 03/2019";"569/2019";"EQUIPAMENTOS E MATERIAL PERMANENTE";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751643&dt=20200602151716&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidPyXCwFDXLtX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0RywmsxvpvMWj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1IG3ZNPpYADfhnJkOluLX1J1x9MnBxs9ps%3d&dt=20200602151716";960
"PAGAMENTO";"2019NP01012";"29/11/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"40.761.843/0001-25 - COM. DE MOV. ELETRO E INF. MALHEIRO LTDA EPP";"8.165,00";"PAGAMENTO REF. A AQUISIÇÃO DE MATERIAL PERMANENTE - MALHEIRO - 11/2019";"564/2019";"EQUIPAMENTOS E MATERIAL PERMANENTE";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1752421&dt=20200602151716&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidPyXCwFDXLtX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0RywmsxvpvMWj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1IG3ZNPpYADfhnJkOluLX1J1x9MnBxs9ps%3d&dt=20200602151716";8165
"PAGAMENTO";"2019NP00051";"15/02/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"08.336.975/0001-05 - G TRIGUEIRO BRASIL SERV. TECNOLÓGICOS LTDA ME";"345.900,00";"PAGAMENTO REF. COM AQUISICAO E INSTALACAO DE MATERIAL PERMANENTE ESPECIFICAMENTE MOBILIARIO G TRIGUEIRO 01/2019";"729/2019";"EQUIPAMENTOS E MATERIAL PERMANENTE";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751473&dt=20200602151716&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidPyXCwFDXLtX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0RywmsxvpvMWj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1KoKWe5CgoQ1DD4D1zGR2CQ3fV7auy7j28%3d&dt=20200602151716";345900
"PAGAMENTO";"2019NP00104";"20/02/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"08.336.975/0001-05 - G TRIGUEIRO BRASIL SERV. TECNOLÓGICOS LTDA ME";"8.010,99";"PAGAMENTO REF. COM MOVEIS PARA INSTALACAO DE CATRACAS NA PORTA DE ACESSO DO ESTACIONAMENTO RECEPCAO G TRIGUEIRO 02/2019";"282/2019";"EQUIPAMENTOS E MATERIAL PERMANENTE";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751524&dt=20200602151716&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidPyXCwFDXLtX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0RywmsxvpvMWj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1KoKWe5CgoQ1DD4D1zGR2CQ3fV7auy7j28%3d&dt=20200602151716";8010,99
"PAGAMENTO";"2019NP00059";"31/01/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"17.570.889/0001-45 - JR INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA ME";"1.650,00";"PAGAMENTO REF. COM AQUISICAO DE CONDICIONADORES DE AR ESPLIT PARA ATENDER A CAMARA MUNICIPAL DE PARNAMIRIM01/2019";"25/2019";"EQUIPAMENTOS E MATERIAL PERMANENTE";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751481&dt=20200602151717&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidPyXCwFDXLtX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0RywmsxvpvMWj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1L28Le1SvNE1dZCmm%2bGoWry4PtwyxQ%2fPHc%3d&dt=20200602151717";1650
"PAGAMENTO";"2019NP00109";"20/02/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"17.570.889/0001-45 - JR INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA ME";"1.650,00";"PAGAMENTO REF. COM AQUISICAO DE CONDICIONADORES DE AR ESPLIT PARA ATENDER A CAMARA MUNICIPAL DE PARNAMIRIM02 /2019";"94/2019";"EQUIPAMENTOS E MATERIAL PERMANENTE";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751529&dt=20200602151717&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidPyXCwFDXLtX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0RywmsxvpvMWj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1L28Le1SvNE1dZCmm%2bGoWry4PtwyxQ%2fPHc%3d&dt=20200602151717";1650
"PAGAMENTO";"2019NP00139";"28/02/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"17.570.889/0001-45 - JR INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA ME";"6.900,00";"PAGAMENTO REF. COM AQUISICAO DE AR CONDICIONADO PARA ATENDER AS NECESSIDADES DESTA CASA LEGISLATIVA 02/2019";"83/2019";"EQUIPAMENTOS E MATERIAL PERMANENTE";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751559&dt=20200602151717&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidPyXCwFDXLtX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0RywmsxvpvMWj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1L28Le1SvNE1dZCmm%2bGoWry4PtwyxQ%2fPHc%3d&dt=20200602151717";6900
"PAGAMENTO";"2019NP00339";"30/04/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"17.570.889/0001-45 - JR INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA ME";"11.970,00";"PAGAMENTO REF. COM EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS DE REFORMA E RECUPERACAO DE CADEIRAS LORGARINAS BANCADAS E BALCAO COM FORNECIMENTO DE MATERIAL PARA ATENDER A CAMARA MUNICIPAL DE PARNAMIRIM 04/2019";"28/2019";"EQUIPAMENTOS E MATERIAL PERMANENTE";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751756&dt=20200602151717&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidPyXCwFDXLtX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0RywmsxvpvMWj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1L28Le1SvNE1dZCmm%2bGoWry4PtwyxQ%2fPHc%3d&dt=20200602151717";11970
"PAGAMENTO";"2019NP00353";"30/04/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"13.165.472/0001-46 - RMS DA SILVA COMERCIO DE MOVEIS EIRELI-ME";"23.040,00";"PAGAMENTO REF. COM CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE SMART TVS DE LED INCLUINDO GARANTIA DE 12 DOZE MESES E ARTENAS DIGITAIS PARA ATENDER AOS GABINETES DE VEREADORES DA CAMARA MUNICIPAL DE PARNAMIRIM /RN";"1/2019";"EQUIPAMENTOS E MATERIAL PERMANENTE";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751770&dt=20200602151718&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidPyXCwFDXLtX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0RywmsxvpvMWj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1LA%2b7Wl9Ml2VdPsEyJVaWN9gthK3fGkVUc%3d&dt=20200602151718";23040
